X1	X2	Y1	Y2	Y2
-40,25	-15,62	939,70	1518,90	1518,90
-40,13	-11,70	1763,80	1308,20	1308,20
-43,77	-14,33	1597,80	654,10	654,10
-41,87	-14,38	742,90	1161,80	1161,80
-40,25	-14,13	1204,70	1434,40	1434,40
-44,03	-10,70	1292,50	272,20	4038,20
-40,42	-13,43	1907,60	1377,40	1377,40
-38,92	-12,77	4400,50	3993,50	3993,50
-39,00	-14,10	1976,70	2085,70	2085,70
-40,52	-13,00	946,00	1395,80	1395,80
-39,30	-15,55	1272,20	1619,90	1619,90
-38,28	-12,52	4674,60	5929,30	5929,30
-42,85	-13,90	1146,20	795,10	795,10
-40,23	-17,37	2184,40	1593,50	1619,00
-40,60	-11,42	2487,40	1263,80	1263,80
-39,87	-12,87	994,10	3112,60	3112,60
-40,58	-10,95	1770,60	1207,40	1222,50
-40,77	-14,23	736,70	1462,40	1462,40
-39,33	-10,43	4824,80	1867,60	4824,80
-43,27	-11,55	757,90	553,60	553,60
-41,15	-11,55	3456,90	957,20	957,20
-42,37	-15,03	1116,60	905,70	905,70
-41,37	-13,00	782,80	1077,50	1077,50
-39,55	-18,08	4183,20	1610,20	3524,30
-41,63	-11,95	957,20	964,90	964,90
-40,48	-11,85	2625,60	1292,50	1292,50
-39,12	-13,00	656,70	1636,40	1636,40
-43,54	-12,07	1058,20	637,70	637,70
-39,00	-12,62	2852,30	2658,40	2658,40
-39,50	-13,22	2144,30	2822,70	2822,70
-39,00	-13,03	2776,40	1996,50	1996,50
-39,12	-13,58	1325,90	2453,10	2453,10
-39,42	-10,82	1230,00	1775,00	1770,60
-40,13	-14,78	1558,50	1509,90	1509,90
-39,62	-11,60	693,30	2410,00	2410,00
-39,62	-13,80	562,10	1966,80	1966,80
-40,08	-13,03	743,10	1375,30	1375,30
-41,08	-12,82	822,90	1047,20	1047,20
-38,50	-11,23	2615,00	8280,80	8280,80
-39,37	-17,88	4327,30	1610,20	3439,80
-42,17	-12,80	1175,60	777,00	777,00
-38,40	-10,32	1454,80	10230,70	1454,80
-38,35	-11,37	2747,60	8445,60	8445,60
-42,88	-12,32	2090,00	767,80	767,80
-38,62	-12,03	767,80	4327,30	4327,30
-41,08	-10,97	1667,00	939,70	1383,20
-43,15	-14,27	2094,30	697,70	697,70
-41,55	-12,52	822,60	980,80	980,80
-42,25	-13,43	2088,00	818,80	818,80
-43,18	-12,68	3137,70	572,60	572,60
-37,87	-10,68	2822,70	289942,20	915,30
-39,65	-15,45	865,30	2033,20	2033,20
-38,23	-9,40	11831,60	11831,60	4327,30
-39,62	-11,83	1263,80	1752,40	1752,40
-38,65	-12,17	654,10	4111,70	4111,70
-37,88	-10,00	1580,10	62321,00	2052,40
