25014 ESPERANCA,59
25015 BREJO PARAIBANO,66
25016 GUARABIRA,197
25017 CAMPINA GRANDE,343
25018 ITABAIANA,113
25019 UMBUZEIRO,119
25020 LITORAL NORTE,228
25021 SAPE,240
25022 JOAO PESSOA,5746
25023 LITORAL SUL,60
26001 ARARIPINA,591
26002 SALGUEIRO,1128
26003 PAJEU,1177
26004 SERTAO DO MOXOTO,186
26005 PETROLINA,944
26006 ITAPARICA,106
26007 VALE DO IPANEMA,653
26008 VALE DO IPOJUCA,1419
26009 ALTO CAPIBARIBE,512
26010 MEDIO CAPIBARIBE,791
26011 GARANHUNS,3238
26012 BREJO PERNAMBUCANO,582
26013 MATA SETENTRIONAL PERNAMBUCANA,1387
26014 VITORIA DE SANTO ANTAO,546
26015 MATA MERIDIONAL PERNAMBUCANA,723
26016 ITAMARACA,644
26017 RECIFE,11076
26018 SUAPE,116
26019 FERNANDO DE NORONHA,48
22001 BAIXO PARNAIBA PIAUIENSE,91
22002 LITORAL PIAUIENSE,655
22003 TERESINA,4200
22004 CAMPO MAIOR,183
22005 MEDIO PARNAIBA PIAUIENSE,444
22006 VALENCA DO PIAUI,145
22007 ALTO PARNAIBA PIAUIENSE,183
22008 BERTOLINIA,349
22009 FLORIANO,473
22010 ALTO MEDIO GURGUEIA,3235
22011 SAO RAIMUNDO NONATO,304
22012 CHAPADAS DO EXTREMO SUL PIAUIENSE,394
22013 PICOS,129
22014 PIO IX,54
22015 ALTO MEDIO CANINDE,699
41001 PARANAVAI,12952
41002 UMUARAMA,21846
41003 CIANORTE,8652
41004 GOIOERE,12815
41005 CAMPO MOURAO,21223
41006 ASTORGA,5688
41007 PORECATU,6477
41008 FLORAI,2203
41009 MARINGA,34808
41010 APUCARANA,31052
41011 LONDRINA,86840
41012 FAXINAL,5095
41013 IVAIPORA,15693
41014 ASSAI,4354
41015 CORNELIO PROCOPIO,10912
41016 JACAREZINHO,9024
41017 IBAITI,8932
41018 WENCESLAU BRAZ,8037
41019 TELEMACO BORBA,18714
41020 JAGUARIAIVA,3873
41021 PONTA GROSSA,17605
41022 TOLEDO,28632
41023 CASCAVEL,53862
41024 FOZ DO IGUACU,30282
41025 CAPANEMA,17348
41026 FRANCISCO BELTRAO,42164
41027 PATO BRANCO,13367
41028 PITANGA,4069
41029 GUARAPUAVA,15871
41030 PALMAS,1313
41031 PRUDENTOPOLIS,4754
41032 IRATI,1090
41033 UNIAO DA VITORIA,310
41034 SAO MATEUS DO SUL,212
41035 CERRO AZUL,103
41036 LAPA,123
41037 CURITIBA,21254
41038 PARANAGUA,21518
41039 RIO NEGRO,81
33001 ITAPERUNA,4741
33002 SANTO ANTONIO DE PADUA,2362
33003 CAMPOS DOS GOYTACAZES,16508
33004 MACAE,5627
33005 TRES RIOS,4731
33006 CANTAGALO-CORDEIRO,6247
33007 NOVA FRIBURGO,6103
33008 SANTA MARIA MADALENA,295
33009 BACIA DE SAO JOAO,5217
33010 LAGOS,4466
33011 VALE DO PARAIBA FLUMINENSE,38405
33012 BARRA DO PIRAI,2716
33013 BAIA DA ILHA GRANDE,16963
33014 VASSOURAS,5105
33015 SERRANA,10465
33016 MACACU-CACERIBU,1333
33017 ITAGUAI,825
33018 RIO DE JANEIRO,136852
24001 MOSSORO,976
24002 CHAPADA DO APODI,126
24003 MEDIO OESTE,159
24004 VALE DO ACU,436
24005 SERRA DE SAO MIGUEL,537
24006 PAU DOS FERROS,808
24007 UMARIZAL,102
24008 MACAU,130
24009 ANGICOS,174
24010 SERRA DE SANTANA,374
24011 SERIDO OCIDENTAL,385
